district,city,landSize,buildingSize,bedrooms,bathrooms,floors,garages,electricity,furnishing,priceNumeric
Ngaglik,Sleman,96.0,100.0,3.0,2.0,2.0,,Lainnya,Unfurnished,950000000
Ngaglik,Sleman,262.0,155.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1200000000
Depok,Sleman,177.0,85.0,3.0,2.0,1.0,1.0,1300 Watt,Unfurnished,1200000000
Ngaglik,Sleman,710.0,200.0,5.0,3.0,1.0,2.0,Lainnya,Unfurnished,2400000000
Gondokusuman,Yogyakarta,136.0,136.0,5.0,2.0,1.0,,2200 Watt,Unfurnished,800000000
Depok,Sleman,85.0,60.0,2.0,1.0,1.0,,2200 Watt,Semi Furnished,625000000
Gondokusuman,Yogyakarta,136.0,136.0,5.0,2.0,1.0,,2200 Watt,Unfurnished,800000000
Godean,Sleman,,,,,,,,,1650000000
,,108.0,109.0,3.0,3.0,,,2200 Watt,,1650000000
,,110.0,114.0,3.0,3.0,,,2200 Watt,,1750000000
,,110.0,114.0,3.0,3.0,,,2200 Watt,,1750000000
Gondokusuman,Yogyakarta,135.0,250.0,8.0,5.0,2.0,,Lainnya,Unfurnished,3000000000
Sleman,Yogyakarta,85.0,60.0,2.0,1.0,1.0,,2200 Watt,Semi Furnished,625000000
Mantrijeron,Yogyakarta,350.0,250.0,7.0,2.0,1.0,,Lainnya,Unfurnished,2500000000
Ngemplak,Sleman,,,,,,,,,1500000000
,,115.0,160.0,4.0,3.0,,,3500 Watt,,1900000000
,,120.0,120.0,4.0,3.0,,,3500 Watt,,1500000000
,,121.0,120.0,4.0,3.0,,,3500 Watt,,1500000000
,,122.0,120.0,4.0,3.0,,,3500 Watt,,1500000000
,,208.0,120.0,4.0,3.0,,,3500 Watt,,1500000000
Ngaglik,Sleman,103.0,120.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1600000000
Maguwoharjo,Yogyakarta,200.0,107.0,3.0,3.0,2.0,,Lainnya,Semi Furnished,1550000000
Kaliurang,Sleman,90.0,90.0,3.0,3.0,2.0,,Lainnya,Unfurnished,945000000
Bambanglipuro,Bantul,,,,,,,,,166000000
,,30.0,63.0,2.0,1.0,,,900 Watt,,166000000
,,30.0,63.0,2.0,1.0,,,900 Watt,,166000000
Condong Catur,Sleman,200.0,107.0,3.0,3.0,2.0,,Lainnya,Semi Furnished,1500000000
Sleman,Sleman,126.0,100.0,3.0,2.0,1.0,,Lainnya,Furnished,1400000000
Sleman,Yogyakarta,109.0,108.0,3.0,3.0,2.0,,22000 Watt,Unfurnished,1550000000
Ngaglik,Sleman,,,,,,,,,789500000
,,93.0,45.0,2.0,1.0,,,Lainnya,,855000000
,,93.0,45.0,2.0,1.0,,,Lainnya,,789500000
,,112.0,45.0,2.0,1.0,,,Lainnya,,894500000
Sleman,Yogyakarta,52.0,52.0,1.0,1.0,1.0,1.0,3500 Watt,Furnished,650000000
Gamping,Sleman,398.0,477.0,9.0,8.0,1.0,2.0,4400 Watt,Unfurnished,6750000000
Mantrijeron,Yogyakarta,201.0,149.0,5.0,2.0,1.0,1.0,2200 Watt,Unfurnished,1750000000
Sleman,Sleman,93.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,600000000
Sleman,Sleman,113.0,90.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1100000000
Sleman,Sleman,118.0,90.0,3.0,2.0,2.0,,2200 Watt,Semi Furnished,1200000000
Sleman,Sleman,103.0,120.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1650000000
Sleman,Sleman,52.0,52.0,1.0,1.0,1.0,1.0,3500 Watt,Furnished,335000000
